global_iso_id,molec_id,local_iso_id,nu,sw,a,elower,gp,gp,gpp,nu-err,sw-err,nu-ref,sw-ref
   36, 7,1, 7734.270181, 1.951E-32, 3.684E-07, 2460.7635,   81,   81,   81,5,4,1483,1484
   36, 7,1, 7734.270181, 3.038E-30, 5.736E-05, 2460.7635,   81,   81,   81,5,5,1483,1484
   36, 7,1, 7735.353539, 3.193E-30, 6.008E-05, 2339.0644,   45,   45,   45,4,6,1179, 855
   37, 7,2, 7736.282755, 2.398E-30, 2.562E-05,  951.1056,   49,   49,   51,5,6,1179, 855
   36, 7,1, 7737.575181, 8.434E-30, 2.423E-05, 1814.1937,   23,   23,   25,4,6,1179, 855
   38, 7,3, 7738.006600, 5.262E-31, 2.454E-05,  905.0422,  282,  282,  294,5,6,1179, 851
   36, 7,1, 7741.015690, 4.712E-30, 5.289E-05, 2213.3478,   41,   41,   43,4,6,1179, 855
   36, 7,1, 7741.451702, 8.129E-30, 5.323E-05, 2232.0828,   77,   77,   79,5,5,1483,1484
   36, 7,1, 7742.330886, 1.898E-29, 5.405E-08,  438.7010,   29,   29,   33,5,4,1483,1484
   37, 7,2, 7742.569186, 3.226E-30, 2.558E-05,  880.7923,   47,   47,   49,5,6,1179, 855
   36, 7,1, 7742.843373, 5.413E-30, 6.025E-05, 2211.5201,   41,   41,   41,4,6,1179, 855
   36, 7,1, 7743.118273, 5.674E-32, 3.687E-07, 2230.4163,   77,   77,   77,5,4,1483,1484
   36, 7,1, 7743.118273, 8.833E-30, 5.739E-05, 2230.4163,   77,   77,   77,5,5,1483,1484
   36, 7,1, 7744.254363, 3.423E-32, 3.685E-10,  793.2087,   43,   43,   47,5,4,1483,1484
   38, 7,3, 7744.430781, 7.036E-31, 2.448E-05,  835.5520,  270,  270,  282,5,6,1179, 851
   36, 7,1, 7746.059947, 2.344E-27, 2.502E-05,  791.4032,   43,   43,   45,5,6,1483,1484
   36, 7,1, 7746.059947, 4.168E-29, 4.449E-07,  791.4032,   43,   43,   45,5,4,1483,1484
   36, 7,1, 7748.322422, 7.386E-30, 5.231E-05, 2097.0889,   37,   37,   39,4,6,1179, 855
   37, 7,2, 7748.821731, 4.276E-30, 2.553E-05,  813.1611,   45,   45,   47,5,6,1179, 855
